ID,F-number,JH-number,creator-date,creator-place,Dimensions,details,credits,CORE_TEXT,heads,Head of a Woman,Head of a Man,Head of a Woman 1,Head of a Woman 2,Head of a Woman 3,Head of a Woman 4,Head of a Prostitute,Head of an Old Man,Torso of Venus,Torso of Venus 1,Torso of Venus 2,Torso of Venus 3,this torso of Venus,standing torso of Venus,Plaster Cast of a Womans Torso,Plaster Cast of a Womans Torso 1,Male Torso,drawing,painting,portrait,still life,nude,cityscape,animal art,Horse,Kneeling Ecorche,Portrait of a Prostitute,Woman Sewing,The Potato Eaters,Letter from Vincent van Gogh to Theo van Gogh with sketches of Head of a Woman and Head of a Woman,Van Gogh wrote,he wrote,drew,complementary colours,which he painted a number of times,He would use this technique more than once in his later work,1881,1884,1885,1886,1887,1890,Nuenen,Antwerp,Paris,Brussels,TOKENS,PREP_TOKENS,BOWS_TOKENS,IDX_TOKENS,TFIDF_TOKENS,STD_DVEC_TOKENS,STD_SVEC_TOKENS
  (10, 0)	0.0033270179024447104
  (11, 0)	0.0016635089512223552
  (12, 0)	0.48035586518895346
  (13, 0)	0.004990526853667065
  (14, 0)	0.0067118998778172454
  (15, 0)	0.0033559499389086227
  (16, 0)	0.18297870534183105
  (17, 0)	0.24017793259447673
  (18, 0)	0.0033559499389086227
  (19, 0)	0.0033559499389086227
  (21, 0)	0.0067118998778172454
  (22, 0)	0.0033559499389086227
  (23, 0)	0.0033559499389086227
  (24, 0)	0.0016635089512223552
  (25, 0)	0.0033559499389086227
  :	:
  (538, 58)	0.09235187819089125
  (539, 58)	0.09235187819089125
  (540, 58)	0.1847037563817825
  (541, 58)	0.1847037563817825
  (542, 58)	0.1847037563817825
  (543, 58)	0.09235187819089125
  (544, 58)	0.1847037563817825
  (545, 58)	0.09235187819089125
  (546, 58)	0.1847037563817825
  (547, 58)	0.1847037563817825
  (548, 58)	0.09235187819089125
  (549, 58)	0.09235187819089125
  (550, 58)	0.09235187819089125
  (551, 58)	0.1847037563817825
